Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
D2N11,2011-06-29,-1683.956,-1683.956,-1683.956,-1683.956,6,-0.36%,30,1687
D2N11,2011-06-28,-1689.956,-1689.956,-1689.956,-1689.956,3,-0.18%,0,1657
D2N11,2011-06-27,-1692.956,-1692.956,-1692.956,-1692.956,-2.,+0.12%,20,1657
D2N11,2011-06-24,-1690.956,-1690.956,-1690.956,-1690.956,-1.,+0.06%,20,1637
D2M11,2011-06-23,-1689.956,-1689.956,-1689.956,-1689.956,-2.363,+0.14%,0,1617
D2M11,2011-06-22,-1687.593,-1687.593,-1687.593,-1687.593,-0.546,+0.03%,0,1617
D2M11,2011-06-21,-1687.047,-1687.047,-1687.047,-1687.047,0,0.00%,20,1617
D2M11,2011-06-20,-1687.047,-1687.047,-1687.047,-1687.047,0,0.00%,0,1597
D2M11,2011-06-17,-1687.047,-1687.047,-1687.047,-1687.047,-3.602,+0.21%,0,1597
D2M11,2011-06-16,-1683.445,-1683.445,-1683.445,-1683.445,-2.091,+0.12%,0,1597
D2M11,2011-06-15,-1681.354,-1681.354,-1681.354,-1681.354,0.568,-0.03%,0,1597
D2M11,2011-06-14,-1681.922,-1681.922,-1681.922,-1681.922,5.864,-0.35%,0,1597
D2M11,2011-06-13,-1687.786,-1687.786,-1687.786,-1687.786,-0.864,+0.05%,0,1597
D2M11,2011-06-10,-1686.922,-1686.922,-1686.922,-1686.922,7.137,-0.42%,0,1597
D2M11,2011-06-09,-1694.059,-1694.059,-1694.059,-1694.059,2.613,-0.15%,92,1597
D2M11,2011-06-08,-1696.672,-1696.672,-1696.672,-1696.672,0.546,-0.03%,0,1567
D2M11,2011-06-07,-1697.218,-1697.218,-1697.218,-1697.218,-9.182,+0.54%,110,1567
D2M11,2011-06-06,-1688.036,-1688.036,-1688.036,-1688.036,-5.887,+0.35%,0,1457
D2M11,2011-06-03,-1682.149,-1682.149,-1682.149,-1682.149,1.91,-0.11%,100,1557
D2M11,2011-06-02,-1684.059,-1684.059,-1684.059,-1684.059,-5.546,+0.33%,0,1457
D2M11,2011-06-01,-1678.513,-1678.513,-1678.513,-1678.513,0.091,-0.01%,0,1457
D2M11,2011-05-31,-1678.604,-1678.604,-1678.604,-1678.604,0,0.00%,0,1837
D2M11,2011-05-27,-1678.604,-1678.604,-1678.604,-1678.604,6,-0.36%,90,1837
D2M11,2011-05-26,-1684.604,-1684.604,-1684.604,-1684.604,1,-0.06%,90,1837
D2M11,2011-05-25,-1685.604,-1685.604,-1685.604,-1685.604,0,0.00%,60,1747
D2M11,2011-05-24,-1685.604,-1685.604,-1685.604,-1685.604,-2.,+0.12%,30,1687
